"","X","display_title","mpaa_rating","critics_pick","byline","headline","summary_short","publication_date","opening_date","date_updated","link","multimedia"
"1",0,"Gun Shy","R",1,"Elvis Mitchell","Gun Shy (Movie)  ","In ''Gun Sky,'' a shaken undercover Fed, Charlie Mayo (Liam Neeson), begins seeing a psychiatrist on the down-low. Charlie, a wreck who has lost his nerve after he was exposed during an undercover operation, is assigned to a job that involves his acting as an organized-crime envoy. He moves between the preening Fidel (Jose Zuniga), a yuppie Colombian thug, and Fulvio (Oliver Platt), whose vulgar pride in his violent streak is perverse. Eric Blakeney has come up with one of the most subtle and inspired comedies you'll see this year in his feature-film writing and directing debut. &#151; Elvis Mitchell
","2000-02-04","2000-02-04","2017-11-02 04:17:57","{'type': 'article', 'url': 'http://www.nytimes.com/2000/02/04/movies/film-review-tough-on-the-outside-pudding-on-the-inside.html', 'suggested_link_text': 'Read the New York Times Review of Gun Shy'}",NA
"2",1,"Scream 3","R",1,"Elvis Mitchell","Scream 3 (Movie)  ","At this point it goes without saying that the ''Scream'' movies are like episodes of ''Scooby Doo.'' Like the others, ''Scream3'' belongs on the Cartoon Network. This time for a better reason: the film is funny and brisk, with enough good lines to make the comedy more satisfying than the somewhat routine but still unsettling jobs to the spine. Wes Craven and his group recognize that the franchise's real competition is not the recent hit films ''The Blair Witch Project'' or ''The Sixth Sense,'' but rather ''Scream'' itself. ''Scream 3'' doesn't skimp on jacked-up scares, but it's as much as personality show as it is a slasher film. &#151; Elvis Mitchell
","2000-02-04","2000-02-04","2017-11-02 04:17:57","{'type': 'article', 'url': 'http://www.nytimes.com/2000/02/04/movies/film-review-the-ultimate-scream-still-mad-still-slashing.html', 'suggested_link_text': 'Read the New York Times Review of Scream 3'}",NA
"3",2,"Not One Less","G",1,"A. O. Scott","Not One Less (Movie)  ","Zhang Yimou's drama enlarges the possibilities of filmmaking even as it grounds itself in one of cinema's oldest, most basic principles: the camera's ability to document reality. At the center of the film is Wei (Wei Minzhi), a 13-year-old primary school graduate who has been pressed into service as a substitute teacher in the Shuiquan Primary School. When one of her students is sent to the city to work off his parents' debts. Wei, who has been promised a bonus if she can keep her class intact (this is the source of the film's title), sets out to bring him home. And the movie, which has so far been a slow, touching study of village life, becomes something else: a work of lyrical realism that has some of the shattering, redemptive power of Vittorio De Sica's ''Bicycle Thief.'' &#151; A.O. Scott
","2000-02-18","","2017-11-02 04:16:17","{'type': 'article', 'url': 'http://www.nytimes.com/2000/02/18/movies/film-review-a-substitute-teacher-is-put-to-the-test.html', 'suggested_link_text': 'Read the New York Times Review of Not One Less'}",NA
"4",3,"Beautiful People","R",1,"A. O. Scott","Beautiful People (Movie)","Failed connections in Bosnian war. Exuberant funny valentine to chaos and human decency.","2000-02-18","","2017-11-02 04:16:17","{'type': 'article', 'url': 'http://www.nytimes.com/2000/02/18/movies/film-review-struggling-to-reconnect-what-chaos-rips-apart.html', 'suggested_link_text': 'Read the New York Times Review of Beautiful People'}",NA
"5",4,"Boiler Room","R",1,"A. O. Scott","Boiler Room (Movie)  ","Giovanni Ribisi portrays a young stockbroker in training at a fly-by-night company called J. T. Marlin. Like Oliver Stone's &quot;Wall Street,&quot; &quot;Boiler Room&quot; tells the story of an ambitious young man's rise, fall and redemption. And like Charlie Sheen's Bud Fox, Mr. Ribisi's Seth carries some heavy Oedipal baggage &#151; a troubled relationship with his demanding, disapproving father &#151; onto the trading floor. But at its best, which is awfully good, &quot;Boiler Room&quot; avoids the thumping moralism that has made Mr. Stone the least misunderstood director in Hollywood. It's less about selling your soul than about feeling your oats. &#151; A. O. Scott","2000-02-18","2000-02-18","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/02/18/movies/film-review-sell-enough-dicey-stocks-hinterland-rubes-you-can-buy-ferraris.html', 'suggested_link_text': 'Read the New York Times Review of Boiler Room'}",NA
"6",5,"Reindeer Games","R",1,"Elvis Mitchell","Reindeer Games (Movie)  ","This is a wheel-within-a-wheel thriller that's a lot of fun until, near the end, it becomes a Xerox Copy of a blueprint of a hit. Ben Affleck, who suggests one of the Kennedys playing Clark Kent he wants to keep his light under a bushel, but he's not quite up to it - plays Rudy, an ex-con who gets dragged into a casino heist planned for the Christmas season. Charlize Theron is the girl who lures him into the job. The seamy kicks of one double cross after another keep the movie in motion, and John Frankeheimer's ruthless precision keeps it on track. &#151; Elvis Mitchell
","2000-02-25","2000-02-25","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/02/25/movies/film-review-santa-would-surely-be-useful-right-now.html', 'suggested_link_text': 'Read the New York Times Review of Reindeer Games'}",NA
"7",6,"Winter Sleepers","",1,"Stephen Holden","Winter Sleepers (Movie)","Thrillingly virtuosic cinematic flourishes lend a steady charge of adrenaline to this drama about the tangled destinies of well-to-do German slackers in a picture-perfect skiing village. Made just before the jet-propelled pop fantasy ''Run Lola Run'' put Tom Tykwer on the short list of major international filmmakers, ''Winter Sleepers'' conveys the spiritual malaise afflicting the generation now in its late 20's and 30's. But like ''Run Lola Run,'' the movie is also about how human destiny has everything to do with split-second timing &#151; Stephen Holden
","2000-03-17","","2017-11-02 04:16:13","{'type': 'article', 'url': 'http://www.nytimes.com/2000/03/17/movies/film-review-against-a-breathtaking-landscape-young-adults-lacking-in-vision.html', 'suggested_link_text': 'Read the New York Times Review of Winter Sleepers'}",NA
"8",7,"The Filth and the Fury","R",1,"A. O. Scott","Filth and the Fury, The (Movie) ","If you thought the passage of time had rendered the Sex Pistols quaint objects of pop-culture nostalgia, Julien Temple's electrifying new documentary will make you think again. The film presents the great, short-lived British punk band in all its scabrous glory -- spewing obscenities on British television, spitting at journalists and fans and generally smashing through the drabness and hypocrisy of 1970's Britain like a brick through a shop window. At a time when every obscenity or aesthetic shock tactic feels like the product of either careful market research or dutiful graduate-school training, the filth and the fury of British punk rock at its moment of impact retains a surprising dignity. These guys hated everything, but at least they believed in something. Nihilism like this makes you glad to be alive. — A. O. Scott","2000-03-29","","2017-11-02 04:16:18","{'type': 'article', 'url': 'http://www.nytimes.com/2000/03/29/movies/film-review-a-rock-band-that-hurled-rocks-at-70-s-britain.html', 'suggested_link_text': 'Read the New York Times Review of The Filth and the Fury'}",NA
"9",8,"High Fidelity","R",1,"Stephen Holden","High Fidelity (Movie)  ","Record storeowner's midlife crisis, via Frears. Witty and finely tuned.","2000-03-31","2000-03-31","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/03/31/movies/film-review-the-trivially-hip-a-music-geek-s-warped-love-life.html', 'suggested_link_text': 'Read the New York Times Review of High Fidelity'}",NA
"10",9,"Black and White","NC-17",1,"Elvis Mitchell","Black and White (Movie)  ","James Toback, who also wrote the script, hits the subject of white teenagers worshiping black culture with a chain saw, and chunks fly. The movie dashes through more melodrama and moral crises than an entire season of ''E.R.'' In addition to the bigger story, there is a documentary filmmaker (Brooke Shields) and her fey husband (another brilliant performance by Robert Downey Jr.) shooting the whites trying to be ghetto fabulous; there's a street hustler (Power) out to go legit in the recording business; a college hoop star (Allan Houston) caught in a point-fixing scheme; and the weak, corrupt cop (Ben Stiller) who traps him. The movie's sheer pop excitement carries the day. And despite being about teenagers, it's got an adult take on shifting loyalties and envy. &#151; Elvis Mitchell","2000-04-05","2000-04-05","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/04/05/movies/film-review-talk-the-talk-then-steal-the-life-force.html', 'suggested_link_text': 'Read the New York Times Review of Black and White'}",NA
