year,total
1979,51
1980,51
1983,51
1984,51
1985,51
1986,51
1987,51
1990,51
1981,50
1982,50
1991,50
1993,50
1988,49
1989,49
1992,49
1972,48
1973,48
1977,48
1978,48
1994,48
1970,47
1995,47
1971,46
1996,46
1997,46
2000,46
2004,46
1975,45
1976,45
1999,45
1969,44
1974,44
1967,43
1998,43
2002,43
2005,42
1968,41
2003,41
1966,40
2001,40
2006,40
1963,39
1965,39
1962,38
1964,38
1961,36
1960,35
1958,31
1959,31
2007,31
2008,30
1957,28
1956,26
2009,23
2012,22
1955,21
2010,21
1954,19
2011,19
2013,19
1951,18
1952,18
1953,17
2015,17
1950,16
2014,15
2016,14
2017,14
2018,12
1949,10
1946,7
1947,6
1948,6
1944,4
1933,3
1943,3
1939,3
1945,3
1934,2
1941,2
1942,2
1917,1
1926,1
1930,1
1938,1
1940,1
1921,1
1935,1
